Class,AU01,AU02,AU05,AU06,AU09,AU10,AU11,AU12,AU15,AU24,AU25,AU26,anger,disgust,fear,happiness,sadness,surprise,neutral
Non Suicidal,0.550867925,0.415777972,0.492076899,0.374183473,0.473919855,0.906521552,0.491688952,0.834013489,0.664468911,0.603592863,0.443590439,0.636044266,0.032877068,0.013465213,0.000947668,0.302988461,0.090152015,0.364174493,0.757218928
Non Suicidal,0.368574242,0.409504272,0.582650751,0.280371496,0.561986236,0.461734348,0.515426181,0.770915036,0.484101757,0.586552432,0.88008188,0.401884851,0.077825099,0.018438015,0.078262219,0.744523932,0.059173583,0.170842272,0.410603924
Suicidal,0.510438985,0.452172888,0.441177741,0.288595245,0.36811379,0.507712373,0.477861492,0.43549238,0.169151258,0.264070462,0.386422687,0.315262015,0.652257714,0.081796329,0.783946083,0.010858771,0.61303878,0.871701419,0.264077633
Suicidal,0.483404539,0.380275587,0.549024994,0.079958763,0.13614059,0.694352546,0.4666405,0.552071855,0.342190871,0.261309398,0.10809173,0.358038992,0.700758764,0.232625484,0.260032795,0.075957562,0.321956148,0.483555073,0.41883045
Non Suicidal,0.349210924,0.559640952,0.33516006,0.617958419,0.559881636,0.82219828,0.50132492,0.565461672,0.547911198,0.63699809,0.873708919,0.437976044,0.046406213,0.01960356,0.092129771,0.543455996,0.015813923,0.413189695,0.916069596
Suicidal,0.536286434,0.352615349,0.530898194,0.175357968,0.37704253,0.152847455,0.495686573,0.237322442,0.360592533,0.173295799,0.254311764,0.13831721,0.950088731,0.095549039,0.520467952,0.090498166,0.289088477,0.596218789,0.434231457
Non Suicidal,0.47884134,0.52519709,0.502993077,0.252019789,0.374176343,0.384764522,0.490635025,0.501574513,0.172808974,0.452064333,0.401450542,0.184886575,0.020189676,0.019859059,0.083641768,0.978359463,0.090482083,0.073007123,0.586564362
Suicidal,0.698751108,0.41625674,0.425394998,0.170690062,0.222656344,0.432924631,0.475661242,0.636050818,0.177101677,0.215043638,0.293852822,0.169491846,0.354301068,0.223156427,0.517670821,0.093211335,0.374565744,0.501311072,0.624212342
Suicidal,0.778700687,0.362163703,0.210992196,0.071865786,0.39319163,0.231748563,0.477863119,0.337441633,0.496533421,0.18428182,0.609730282,0.180670046,0.838260307,0.104065419,0.448456096,0.064446885,0.779617459,0.53138602,0.183658223
Non Suicidal,0.489590357,0.421795754,0.409042459,0.572126514,0.233841463,0.303376521,0.487510734,0.78678548,0.28936135,0.387961432,0.416540957,0.194509752,0.044300349,0.009395939,0.044633776,0.471921012,0.013421579,0.262364063,0.59676573
Non Suicidal,0.241132068,0.467282637,0.676999873,0.540746587,0.503870106,0.395813597,0.491953769,0.534122147,0.39465751,0.42742819,0.731860025,0.150857186,0.001709678,0.023910889,0.008073971,0.577812132,0.095059761,0.438990289,0.672383049
Suicidal,0.441319986,0.457907638,0.582081624,0.184094779,0.410980962,0.552916269,0.474852482,0.610432877,0.279792624,0.113679875,0.313636245,0.336311969,0.302130316,0.23612593,0.455208027,0.04215019,0.412176263,0.450148881,0.166629626
Non Suicidal,0.4179417,0.49714965,0.64270926,0.09266583,0.09473396,0.03678499,0.46968323,0.10587963,0.098702066,0.57752395,0.13447724,0.17864646,0.005261213,0.000267967,0.00085033,0.8284446,0.021062953,0.001133674,0.14297928
Non Suicidal,0.388017796,0.560266101,0.329882888,0.684644086,0.493032368,0.420010419,0.494093343,0.813817053,0.2802262,0.387831202,0.769624741,0.253171757,0.042005274,0.023247549,0.004236645,0.40486087,0.013483438,0.010505765,0.770198102
Suicidal,0.559175118,0.471842884,0.5094685,0.163896743,0.223795623,0.428399583,0.483671671,0.562345258,0.455827223,0.31854447,0.450984663,0.311737749,0.233266786,0.102907946,0.865504928,0.002636905,0.554781709,0.67956208,0.560480416
Non Suicidal,0.5931038,0.532460484,0.366976075,0.874691334,0.252911378,0.54170731,0.475291352,0.816637516,0.176661782,0.412628569,0.888578526,0.622679145,0.043985575,0.013786267,0.040846185,0.760505618,0.099499536,0.441412182,0.577829994
Non Suicidal,0.201392176,0.39896743,0.483892845,0.735849511,0.417448733,0.735126973,0.486581661,0.748690627,0.198510767,0.619618719,0.527655743,0.596172751,0.030859173,0.009210106,0.009401258,0.654792298,0.078489952,0.073505245,0.495088936
Suicidal,0.656628709,0.457670489,0.300508294,0.147167093,0.25555316,0.123047328,0.486486495,0.050623962,0.448203185,0.189841263,0.202562543,0.167650976,0.35319091,0.068062945,0.735901388,0.033080872,0.851944869,0.885448207,0.257848914
Non Suicidal,0.36604124,0.4516791,0.50328326,0.29103228,0.4845999,0.99681735,0.48661354,0.41098076,0.23999575,0.48412734,0.98277307,0.11683293,0.000504265,0.000156246,7.06E-05,0.9926415,0.000699222,0.003232747,0.002695426
Non Suicidal,0.515744847,0.471915375,0.692487724,0.704429777,0.567077071,0.995327385,0.474901201,0.444397456,0.250699589,0.478171389,0.761362819,0.622681246,0.071891731,0.029338766,0.036331742,0.442831033,0.066456044,0.438959872,0.751335311
Suicidal,0.622533895,0.38728225,0.571850114,0.253239428,0.334776721,0.35829518,0.463944204,0.584588498,0.160859844,0.225115387,0.396284078,0.07399983,0.501802103,0.212636508,0.888669568,0.090843542,0.878185264,0.582261052,0.194469411
Suicidal,0.3518388,0.38423407,0.43562624,0.2156977,0.43983155,0.09140996,0.4702493,0.1351128,0.2734623,0.3945232,0.27148828,0.6603326,0.060008686,0.893695,0.001832364,0.012514322,0.006326289,0.003589312,0.022034042
Suicidal,0.597748063,0.379768912,0.497413677,0.232689646,0.292833182,0.625713938,0.503378663,0.108839829,0.365374319,0.542921797,0.475769259,0.150914978,0.919150522,0.168693412,0.578489368,0.095257681,0.488190931,0.508255294,0.061197145
Suicidal,0.706867305,0.444376129,0.502588331,0.092542304,0.233269578,0.244593199,0.473342904,0.234823142,0.337994665,0.400469928,0.287196534,0.303399468,0.673371549,0.197819321,0.32602078,0.008546074,0.266344723,0.871704621,0.492520381
Non Suicidal,0.419819174,0.46814969,0.653477476,0.437402681,0.492412613,0.909136638,0.512446153,0.656079342,0.489851636,0.504455687,0.456427426,0.20082748,0.057573405,0.004682885,0.005723878,0.590707077,0.097694703,0.383756566,0.837213695
Suicidal,0.524783885,0.426512564,0.397518769,0.10730465,0.266424236,0.363855682,0.500441325,0.12003763,0.193954328,0.321702787,0.174973309,0.074016783,0.139489515,0.098448768,0.79683506,0.024726016,0.890869989,0.747109136,0.120647366
Suicidal,0.703274411,0.475144234,0.594834539,0.129931664,0.10087834,0.286590362,0.50719385,0.404874145,0.290018933,0.469265831,0.23601421,0.35209799,0.362571366,0.197412971,0.946485849,0.023798679,0.793646662,0.652971563,0.21505252
Non Suicidal,0.268722231,0.474350932,0.537876712,0.454694953,0.35588207,0.542367411,0.499079853,0.820184723,0.330144918,0.51214461,0.98950205,0.549253613,0.012542257,0.005088765,0.020791509,0.397466732,0.02065621,0.412774106,0.868901476
Non Suicidal,0.219551811,0.511160398,0.534762926,0.84557646,0.372202599,0.463574855,0.488985385,0.574104734,0.589505357,0.529147196,0.818449821,0.127935152,0.066431505,0.010202134,0.093016583,0.570498593,0.052268339,0.198921003,0.900919481
Non Suicidal,0.246689834,0.424926473,0.522443226,0.295374559,0.478518779,0.507643417,0.485979297,0.510673342,0.119819383,0.642282871,0.592547355,0.125892594,0.072378878,0.007948755,0.049656634,0.77490199,0.008026655,0.030774985,0.539890827
Non Suicidal,0.274853097,0.558416652,0.657652075,0.778739419,0.459338368,0.506796426,0.512479203,0.469018994,0.188980217,0.571543935,0.536171974,0.598227648,0.08922261,0.013889721,0.054175278,0.47017828,0.022611261,0.001601286,0.418217444
Suicidal,0.48779508,0.49022767,0.21234418,0.11289974,0.28372285,0.003287581,0.47375375,0.078812174,0.1361258,0.5255606,0.011719782,0.3095823,0.006616159,0.00368004,0.030137926,0.000491859,0.69162697,0.03177807,0.235669
Non Suicidal,0.42559075,0.46924528,0.67478824,0.09781319,0.09222625,0.005903968,0.47051767,0.09151776,0.064009815,0.52255,0.11759756,0.15190819,0.025962876,0.018374024,0.00891191,0.04529017,0.018620694,0.033876825,0.84896356
Suicidal,0.22765861,0.41597316,0.37353888,0.19806698,0.2840463,0.14233671,0.4923523,0.27401835,0.08773929,0.4023576,0.50845265,0.15261361,0.19479387,0.002366315,0.003955795,0.011026632,0.44871843,0.004107576,0.33503136
Suicidal,0.56896806,0.54343355,0.4602855,0.35676286,0.3560998,0.77671176,0.4694749,0.23435076,0.6037954,0.5705605,0.75775594,0.39875352,0.033955116,0.002323149,0.002205819,0.060933404,0.002084602,0.77896935,0.11952862
Suicidal,0.58854706,0.479792444,0.565333367,0.213641617,0.278036057,0.571360223,0.49650182,0.289310736,0.252308252,0.178632167,0.141039397,0.125257021,0.275211581,0.241851283,0.904155065,0.064639286,0.867683427,0.608799597,0.102433174
Suicidal,0.627553642,0.369229629,0.22252827,0.228665276,0.347253466,0.489063259,0.482613642,0.41391378,0.163601537,0.40911415,0.302722678,0.288047674,0.397055707,0.090747402,0.60117366,0.011056085,0.880596413,0.789780448,0.479189263
Non Suicidal,0.482765313,0.547412436,0.418729436,0.870060383,0.482131092,0.896508189,0.506203547,0.736389406,0.569414938,0.447130383,0.817149823,0.14560905,0.040244509,0.02158318,0.084518304,0.7719649,0.050011927,0.201834194,0.627327563
Suicidal,0.48561723,0.434353534,0.525978847,0.133503423,0.112374363,0.475150554,0.463774448,0.397014853,0.39550805,0.339063254,0.478344589,0.315963986,0.75483386,0.039925439,0.461974532,0.001898883,0.773320279,0.821433083,0.460568704
Suicidal,0.339811472,0.509501176,0.406531599,0.24407052,0.440036996,0.741903737,0.486635733,0.59737723,0.409697605,0.301644511,0.620652273,0.070247366,0.757789349,0.078443062,0.692161175,0.065396962,0.882331734,0.481041295,0.422292245
Non Suicidal,0.524338475,0.580177301,0.507636658,0.593879998,0.39522301,0.975683702,0.51814534,0.605964927,0.187751724,0.490418592,0.62915827,0.593430328,0.090444145,0.016941313,0.075092341,0.527258015,0.017962212,0.199474384,0.670336485
Non Suicidal,0.301974204,0.487170202,0.645684197,0.859127151,0.428847539,0.909056804,0.471040923,0.788831489,0.621230243,0.524284882,0.578773845,0.207414739,0.048964954,0.013948545,0.031542548,0.481695401,0.020071304,0.096931089,0.562509189
Non Suicidal,0.32124847,0.45569685,0.29944685,0.49242133,0.47577998,0.85006,0.4692439,0.55703706,0.17144167,0.58717734,0.038701944,0.17629057,0.002829869,0.000206523,0.000162924,0.9789764,0.009099961,0.001444425,0.007279938
Suicidal,0.420020633,0.479800024,0.62877839,0.137171632,0.180025391,0.311449585,0.479505807,0.556169113,0.468147799,0.146369121,0.341888253,0.264467045,0.351439959,0.086510783,0.629244285,0.06434229,0.93277567,0.446330766,0.484731257
Non Suicidal,0.238779605,0.396852518,0.599998201,0.812736241,0.268305252,0.426001496,0.507355531,0.639401491,0.237838217,0.385987016,0.834507992,0.488739349,0.094959304,0.008195581,0.037533226,0.791403019,0.05766864,0.173425714,0.655153292
Suicidal,0.728945817,0.350169376,0.311356074,0.104191287,0.421142759,0.71552902,0.476983498,0.060688208,0.485537279,0.393586331,0.333461047,0.239766968,0.187166256,0.240564963,0.717938344,0.061174372,0.418452741,0.49462625,0.21027922
Suicidal,0.603846884,0.444791774,0.482518902,0.096612964,0.424256494,0.462584736,0.46182263,0.133352096,0.289863227,0.236302075,0.180967328,0.235411424,0.500164372,0.164686509,0.647205586,0.02729229,0.320591916,0.583755523,0.813495744
Suicidal,0.53514154,0.430064398,0.509459614,0.072377157,0.41750861,0.264977508,0.474091009,0.452287581,0.18919298,0.412417676,0.600957881,0.380476563,0.839015403,0.126137105,0.669787867,0.00718201,0.525931933,0.516137762,0.308545454
Non Suicidal,0.329267308,0.414276037,0.711968871,0.745652823,0.511676882,0.751276044,0.518683461,0.667954763,0.357586391,0.401936597,0.700773862,0.322933362,0.083018266,0.008466663,0.049444451,0.336760612,0.050347644,0.442808331,0.343497567
Non Suicidal,0.53759692,0.487560214,0.585999744,0.441711385,0.409602922,0.684331337,0.50821453,0.629036724,0.433596801,0.50502155,0.728319471,0.284376539,0.075425131,0.021634708,0.090522619,0.349298635,0.053998428,0.305355284,0.699541075
Non Suicidal,0.579703128,0.473346511,0.598413962,0.818157343,0.223240358,0.572591489,0.478056607,0.574911008,0.253634223,0.408328942,0.895857,0.494180866,0.084393333,0.02664998,0.089450819,0.987659857,0.038563486,0.454186352,0.377637847
Suicidal,0.3595769,0.39126357,0.2820159,0.10663677,0.5020943,0.6508913,0.4671166,0.033244014,0.13925755,0.53760564,0.001784826,0.13735926,0.021540768,0.000114492,0.001405259,0.000931188,0.5333434,0.009919038,0.4327458
Non Suicidal,0.482830639,0.409823867,0.493578198,0.416840552,0.351395228,0.647592684,0.509726533,0.888266069,0.633265701,0.495240116,0.557031303,0.509554908,0.087128619,0.016519991,0.056562965,0.320313449,0.068893172,0.115413684,0.886849594
Suicidal,0.750303363,0.428881907,0.35199741,0.189444292,0.140767832,0.651357466,0.479963633,0.062253455,0.04361075,0.219521777,0.47486012,0.269615286,0.921584709,0.129495429,0.423092584,0.004991605,0.354233707,0.816593723,0.526157198
Non Suicidal,0.419502668,0.557419725,0.564526791,0.357746435,0.25781065,0.997763301,0.481993993,0.909205973,0.305434811,0.489297756,0.414467925,0.349337775,0.05996201,0.001194573,0.044793377,0.981529543,0.021559326,0.298059137,0.67650618
Non Suicidal,0.32295433,0.43417057,0.5934396,0.1440198,0.17258076,0.8297991,0.49560422,0.33888513,0.4348857,0.5542226,0.032034695,0.23059325,0.002519368,0.000237084,0.001596423,0.66510665,0.015760513,0.007555421,0.30722457
Non Suicidal,0.58407497,0.578858155,0.534678737,0.846287336,0.356530918,0.418109361,0.478444323,0.794823506,0.439969318,0.610415176,0.590000106,0.445636218,0.030747117,0.01936444,0.068015174,0.55869661,0.043341601,0.035796439,0.869820026
Suicidal,0.398334351,0.409229668,0.237183543,0.161261837,0.40834099,0.28727388,0.4646202,0.791354435,0.204485702,0.190918705,0.266883465,0.197127894,0.180607172,0.060644169,0.626040585,0.080210707,0.92808037,0.704567342,0.204855898
Suicidal,0.644385713,0.366920206,0.271399793,0.104563908,0.322703601,0.126868694,0.474144344,0.268355229,0.18171771,0.227644547,0.237587651,0.080717451,0.177086566,0.159692814,0.76028051,0.087630682,0.348304698,0.486695944,0.724323811
Suicidal,0.42055865,0.492496327,0.434741956,0.24507813,0.213980125,0.628655811,0.469917456,0.147536663,0.274353788,0.473930836,0.119871372,0.107651012,0.495142367,0.049378052,0.277217432,0.093468161,0.656100459,0.766749422,0.355508433
Non Suicidal,0.25629002,0.48083445,0.51540834,0.15333208,0.3588452,0.060634546,0.4685837,0.228583,0.31022936,0.5951895,0.011792292,0.13406952,0.003696569,0.000158675,0.004407846,0.02304715,0.025631526,0.011421667,0.9316365
Suicidal,0.385675036,0.415269241,0.440638462,0.257180527,0.104307281,0.563760245,0.499779689,0.253904411,0.495118526,0.24903795,0.326523688,0.128011744,0.790473767,0.043815754,0.30510219,0.039050857,0.967380219,0.720651875,0.496975585
Non Suicidal,0.25364608,0.48972356,0.3025622,0.9106727,0.58709186,0.3418706,0.47604966,0.92537504,0.09435873,0.4258007,0.9950176,0.27043754,0.000181169,8.70E-05,0.000203189,0.9989555,6.02E-05,0.000243323,0.000269618
Non Suicidal,0.512664894,0.51461713,0.514599566,0.815919371,0.218747015,0.928425514,0.499950605,0.801777622,0.440348146,0.40297058,0.663529668,0.547584354,0.033104287,0.015917362,0.054456749,0.98474946,0.065150236,0.272701109,0.472479954
Non Suicidal,0.56153996,0.508813528,0.378967451,0.559573672,0.483375232,0.479528891,0.497337236,0.671500252,0.40326494,0.635960617,0.892930784,0.510960494,0.05202633,0.006127875,0.038198844,0.611310803,0.049100125,0.35005845,0.781041672
Suicidal,0.752341286,0.44119846,0.200288723,0.151291653,0.351391064,0.222154835,0.486121045,0.574779702,0.479107636,0.52295155,0.502014197,0.308608157,0.860833694,0.232612116,0.816828683,0.022187737,0.351287849,0.65077546,0.334293676
Suicidal,0.499358788,0.419359602,0.404785581,0.123833346,0.193214234,0.370279058,0.468676265,0.693212349,0.138654919,0.118654159,0.107212009,0.35636513,0.162614801,0.173932802,0.438087594,0.006933051,0.554459099,0.605532957,0.461048411
Suicidal,0.355293837,0.504329375,0.471810595,0.188153437,0.349893091,0.743742089,0.494745831,0.329365513,0.242742239,0.506127653,0.528360282,0.379650669,0.150260615,0.103849208,0.201817593,0.006179827,0.234017618,0.784524552,0.483020874
Non Suicidal,0.470821832,0.469534299,0.702190998,0.636885748,0.44741788,0.432099414,0.489178313,0.903577531,0.556805899,0.536425465,0.895481424,0.288895007,0.083513409,0.009869637,0.044611072,0.699085834,0.06847757,0.055345334,0.369793961
Non Suicidal,0.20476456,0.43682095,0.42605627,0.117674656,0.19982147,0.29232314,0.47060227,0.07996786,0.8022246,0.5179511,0.31916368,0.23957099,0.36284786,7.10E-05,0.002367632,0.000462448,0.035316244,0.1040399,0.49489483
Non Suicidal,0.440181557,0.405705218,0.5988307,0.257656161,0.209529723,0.856257771,0.505855713,0.571959124,0.542388759,0.432071516,0.63460392,0.372052765,0.069438109,0.026667567,0.05825496,0.511481276,0.08959252,0.079184894,0.679132729
Suicidal,0.777337336,0.483298863,0.410681277,0.21947146,0.247174666,0.373614806,0.502929193,0.069125821,0.204787676,0.144055361,0.605223221,0.253159932,0.559742336,0.153117495,0.727450719,0.022108117,0.41604235,0.874526645,0.438215956
Suicidal,0.664207701,0.383132137,0.416775585,0.23909212,0.225010445,0.714816522,0.479205653,0.728702952,0.416410454,0.543385245,0.679718015,0.191050897,0.728145139,0.141433057,0.89047051,0.028587796,0.581163335,0.513389619,0.744899354
Suicidal,0.399499557,0.415936506,0.342124344,0.151908434,0.136454503,0.175661705,0.481584126,0.455413401,0.490054855,0.392109366,0.437851341,0.18286888,0.138818508,0.10211407,0.310899792,0.01622916,0.940493646,0.812143499,0.189176017
Non Suicidal,0.511812716,0.490008768,0.446990339,0.667312696,0.306083565,0.767924535,0.495088188,0.898736058,0.62669003,0.624592397,0.407330707,0.271748595,0.014788769,0.019653355,0.028700015,0.641723469,0.003840569,0.026227467,0.89588189
Suicidal,0.333934728,0.397451785,0.358263243,0.08208572,0.117216525,0.259945335,0.460537206,0.399054392,0.308885512,0.429138903,0.172574423,0.073941422,0.90386408,0.228449621,0.274638824,0.024693218,0.516297167,0.701035173,0.22054964
Suicidal,0.532577543,0.368948987,0.255947265,0.10608996,0.227648771,0.536657629,0.461244209,0.463263184,0.225802336,0.222015321,0.410656311,0.129063065,0.905556525,0.068752618,0.637372185,0.05772014,0.513850494,0.633159182,0.323608702
Suicidal,0.34079666,0.357689671,0.465862541,0.172399273,0.368467474,0.228781144,0.502032951,0.407677576,0.313289833,0.232650096,0.391080512,0.208068063,0.271772138,0.130334915,0.375978439,0.060981812,0.698858207,0.460571906,0.228716521
Suicidal,0.755017861,0.436044217,0.567660051,0.252859121,0.344901269,0.215459411,0.461742105,0.251763715,0.303603567,0.345773936,0.367809511,0.383282445,0.835729278,0.120021309,0.323785679,0.011674488,0.5680449,0.818372722,0.754034936
Suicidal,0.3709912,0.3689116,0.39305314,0.19697593,0.39382604,0.19449615,0.4735998,0.2670846,0.22215958,0.44687352,0.5332293,0.22617105,0.12034757,3.44E-05,0.001081911,0.004338227,0.7937266,0.001664087,0.078807116
Suicidal,0.412542915,0.42561394,0.382551278,0.270735252,0.376727974,0.208731982,0.469123151,0.711813009,0.250489773,0.274600898,0.539034134,0.230337083,0.407593469,0.145938771,0.258711406,0.020965434,0.222746606,0.729378944,0.509166843
Suicidal,0.644224255,0.495160896,0.323767308,0.162205394,0.226917011,0.339916841,0.485561852,0.772109616,0.471739779,0.344778099,0.409062306,0.215047068,0.735257394,0.153174047,0.715540806,0.078941792,0.782388096,0.842566919,0.407748988
Non Suicidal,0.22339799,0.58928738,0.432071684,0.750054938,0.28170377,0.638003286,0.510338891,0.543432454,0.162129517,0.431715231,0.507617955,0.384668704,0.037667349,0.015255365,0.00280812,0.427391363,0.089500918,0.132010745,0.777594233
Suicidal,0.580545851,0.421791014,0.499439472,0.152193251,0.213531108,0.225236146,0.474703253,0.262269307,0.475493513,0.548794028,0.258845311,0.08621889,0.766884365,0.129527669,0.835845688,0.000112001,0.320789597,0.484599785,0.500468745
Non Suicidal,0.241328076,0.453530188,0.411220767,0.676275337,0.284471049,0.969163986,0.49797176,0.847585727,0.681969881,0.62813024,0.734969175,0.6106609,0.042580267,0.005705842,0.05561849,0.646195036,0.081146024,0.120714496,0.836168377
Suicidal,0.352363262,0.37475204,0.454229152,0.082823107,0.419793728,0.657529213,0.494770351,0.181037131,0.059235777,0.542398063,0.363468583,0.322972242,0.981856754,0.166917367,0.512344599,0.004219431,0.417616875,0.890977885,0.643024805
Suicidal,0.653589459,0.50373679,0.217803005,0.13689595,0.41669687,0.629400798,0.495362345,0.311078374,0.266315086,0.469637403,0.673417473,0.288749205,0.981184944,0.214797549,0.439196324,0.024536711,0.9034789,0.698481655,0.350093158
Suicidal,0.625815236,0.492231178,0.55816141,0.274239015,0.334946523,0.747871723,0.50555721,0.55346223,0.069495834,0.172130923,0.473544665,0.149772134,0.444496864,0.182767202,0.513352101,0.095470509,0.59904258,0.820101514,0.562496599
Suicidal,0.342151554,0.365083811,0.484483554,0.265918979,0.408875638,0.33655796,0.470686856,0.640527749,0.045172037,0.181602814,0.487334283,0.304548444,0.596560015,0.132188984,0.450230594,0.085214512,0.590592015,0.674483253,0.218371866
Non Suicidal,0.50216432,0.545545858,0.36879769,0.58306688,0.464838529,0.338706312,0.491613116,0.518449155,0.502983498,0.566444796,0.960129671,0.644001452,0.056693364,0.019006551,0.049356227,0.284957607,0.058556837,0.100066591,0.479813385
Non Suicidal,0.277128207,0.409855729,0.535060776,0.626373555,0.37969021,0.367059599,0.480477216,0.801210166,0.568577843,0.533448237,0.474212875,0.578968639,0.082588176,0.014747409,0.093227082,0.738262223,0.056560537,0.355952385,0.665968311
Suicidal,0.666924902,0.492731638,0.590117553,0.072292665,0.109748428,0.327619429,0.501901649,0.24858262,0.277888324,0.205259017,0.658921555,0.126779816,0.262615733,0.121451335,0.433760207,0.07564903,0.675558886,0.614005243,0.276789126
Suicidal,0.530271357,0.449971675,0.305751157,0.237011536,0.332309654,0.458848887,0.460729802,0.171586617,0.337841792,0.234453756,0.355925272,0.322061791,0.545479314,0.245637118,0.899796792,0.024434236,0.459124732,0.869073115,0.300372787
Non Suicidal,0.451640088,0.476575328,0.514057491,0.757014825,0.44337987,0.41152363,0.515694554,0.512835036,0.685238482,0.640465837,0.488947078,0.463786272,0.043077422,0.002511351,0.039886684,0.676654766,0.08196629,0.094012176,0.762620018
Suicidal,0.44312903,0.55797625,0.44541928,0.23742218,0.4029203,0.83639944,0.46919838,0.24847797,0.39095554,0.4572196,0.09986961,0.3359175,0.01129194,0.011576892,0.016169067,0.000205902,0.13008857,0.807156,0.023511527
Suicidal,0.432297255,0.371400594,0.462925771,0.285071534,0.224861763,0.256734951,0.498892118,0.652413805,0.493341626,0.477005242,0.249537217,0.113994687,0.957201391,0.170242823,0.601670743,0.004540847,0.232616136,0.619610988,0.747635718
Non Suicidal,0.226735635,0.416278379,0.354187833,0.321625479,0.539073275,0.318720806,0.515669241,0.486030786,0.293600869,0.505609048,0.972155025,0.465965431,0.06075855,0.005581484,0.042480145,0.484467588,0.04077798,0.019230129,0.373382181
Suicidal,0.654170904,0.465375851,0.648552157,0.256724332,0.115368906,0.658328594,0.46684913,0.255677999,0.173756778,0.253394385,0.3316715,0.094923226,0.651641802,0.042925501,0.564763106,0.099068666,0.87592613,0.553596439,0.701897853
Suicidal,0.3280275,0.38381192,0.50487804,0.12879212,0.38009602,0.003882706,0.47307262,0.06783136,0.32535967,0.4421141,0.24611178,0.27810225,0.09943168,0.000538249,0.041935455,0.001221357,0.024863623,0.6736374,0.15837233
Suicidal,0.54639926,0.473147461,0.372726459,0.200105158,0.260623778,0.393680601,0.508205431,0.311891258,0.369868694,0.482451839,0.60908975,0.284611393,0.294264526,0.135453431,0.320488537,0.011105729,0.807288571,0.879873547,0.735636561
Suicidal,0.462040429,0.386790775,0.341128052,0.257394504,0.125058603,0.793685613,0.496480175,0.381059331,0.415670184,0.41746251,0.315497653,0.378045618,0.247477471,0.108461138,0.44911436,0.052862849,0.84338958,0.812604703,0.579784362
Non Suicidal,0.38071185,0.46766385,0.2734118,0.2059785,0.309641,0.47346812,0.4781109,0.22419262,0.14062035,0.48769367,0.66566515,0.17908391,0.001968749,0.002530398,0.000307283,0.5467555,0.001601429,0.00604981,0.44078687
Suicidal,0.445736777,0.354944117,0.501820881,0.276082729,0.151079927,0.783771276,0.468649388,0.372893681,0.258656666,0.4560581,0.177687444,0.347386029,0.970415246,0.050613101,0.925157177,0.041451671,0.425845078,0.538245582,0.176802939
Non Suicidal,0.47457325,0.552976917,0.584807645,0.427066189,0.540532115,0.958871785,0.49091599,0.464856425,0.576452429,0.43642048,0.988879226,0.291652179,0.054553911,0.010321709,0.078483455,0.33905782,0.000325461,0.000805006,0.476279661
